"","Country","SalaryUSD"
"1","Argentina",13334.6666666667
"2","Australia",65924.2
"3","Austria",37080
"4","Belgium",35000
"5","Brazil",34336
"6","Bulgaria",12275
"7","Canada",75491.3636363636
"8","Catalonia",60000
"9","China",38672
"10","Dominican Republic",564
"11","England",80010.375
"12","France",49400
"13","Germany",65853.3333333333
"14","Ghana",45000
"15","Hungary",11328
"16","India",22461.25
"17","Ireland",67800
"18","Israel",38133
"19","Italy",45600
"20","Latvia",65000
"21","Nepal",5924
"22","Netherlands",57000
"23","New Zealand",100077
"24","Nicaragua",13532
"25","Norway",100966.666666667
"26","Poland",27888
"27","Portugal",22640
"28","Russian Federation",25000
"29","Scotland",33660
"30","Singapore",115172
"31","South Africa",90204
"32","Spain",43200
"33","Sweden",44701.25
"34","Switzerland",111875
"35","Turkey",17698.5
"36","UK",76965.652173913
"37","United Arab Emirates",55538
"38","USA",108986.827476038
